time_utc,time_local,station_id,station_type,latitude,longitude,activity,event,label,depth_m,wind_dir,wind_speed,air_temp,water_temp,water_salinity,pr_baro,hum_percent,ice_0_10,comment
2025/09/09 06:31:31,2025/09/09 02:31:31,ES_S2,CTD,78.0564765,-88.68557766666666,CTD Rosette,Recovery,NA,328.21,324,0,-2.9,-0.163,28.145,1009.66,99.4,NA,CTD Front Deck - Estimated Depth 300m
2025/09/09 06:24:15,2025/09/09 02:24:15,ES_S2,CTD,78.05653716666667,-88.684911,CTD Rosette,Bottom,NA,327.9,315,0,-3,-0.213,27.933,1009.67,99.4,NA,CTD Front Deck - Estimated Depth 300m
2025/09/09 06:12:06,2025/09/09 02:12:06,ES_S2,CTD,78.05682016666667,-88.68677383333333,CTD Rosette,Deployment,AMD2504-024,327.31,355,0.2,-3.2,-0.298,27.117,1009.67,99.3,NA,CTD Front Deck - Estimated Depth 300m
2025/09/09 05:00:18,2025/09/09 01:00:18,ES_S4,CTD,77.954766,-88.48125716666667,CTD Rosette,Recovery,NA,362.79,302,0,-3.1,-0.53,29.277,1009.76,99.4,NA,CTD Front Deck - Estimated Depth 300m
2025/09/09 04:47:18,2025/09/09 00:47:18,ES_S4,CTD,77.954438,-88.47918216666666,CTD Rosette,Bottom,NA,361.03999999999996,294,0,-3.4,-0.514,29.08,1009.77,99.3,NA,CTD Front Deck - Estimated Depth 300m
2025/09/09 04:36:27,2025/09/09 00:36:27,ES_S4,CTD,77.9544275,-88.48041383333333,CTD Rosette,Deployment,AMD2504-023,361.68,294,0,-3.4,-0.418,29.433,1009.78,99.3,NA,CTD Front Deck - Estimated Depth 300m
2025/09/09 03:26:21,2025/09/08 23:26:21,ES_S5,Nutrient,77.8938955,-88.36717516666667,CTD Rosette,Recovery,NA,118.09,281,0,-3.6,-0.539,29.482,1010.09,99.3,NA,Nutrient - Estimated Depth 200m
2025/09/09 02:59:54,2025/09/08 22:59:54,ES_S5,Nutrient,77.89385483333334,-88.36624833333333,CTD Rosette,Bottom,NA,118.92999999999999,314,0,-3.6,-0.491,29.752,1010.2,99.3,NA,Nutrient - Estimated Depth 200m
2025/09/09 02:51:44,2025/09/08 22:51:44,ES_S5,Nutrient,77.89396116666667,-88.36456633333333,CTD Rosette,Deployment,AMD2504-022,119.05,315,0,-3.3,-0.578,29.227,1010.23,99.4,NA,Nutrient - Estimated Depth 200m
2025/09/08 20:16:19,2025/09/08 16:16:19,NB02,Nutrient,77.38296516666666,-92.27344933333333,Foredeck CTD,Recovery,NA,417.63,315,0.8,-0.8,-1.144,29.005,1011.44,99.5,NA,Test with Quentin
