WICOR name	COR name	parameter	units	module
PC1	PC	PCO2		PCT01
AT9	AT	Air Temperature; Forward Jackstaff 85 ft above MWL		TMP90
WS9	WS	Relative Wind Speed; Forward Jackstaff 85 ft above MWL	m/s	WND27
WD9	WD	Relative Wind Direction; Forward Jackstaff 85 ft above MWL	deg	WND27
TW9	TW	True Wind Speed; Forward Jackstaff 85 ft above MWL	m/s	WND27
TI9	TI	True Wind Direction; Forward Jackstaff 85 ft above MWL	deg	WND27
LD1	LD	Long Wave Radiation Dome Temp; Helo Hanger Crossbar	degK	LWR22
LB1	LB	Long Wave Radiation Body Temp; Helo Hanger Crossbar	degK	LWR22
LT1	LT	Long Wave Radiation Thermopile; Helo Hanger Crossbar	V	LWR22
LW1	LW	Long Wave Radiation; Helo Hanger Crossbar	w/m^2	LWR22
SW1	SW	Short Wave Radiation; Helo Hanger Crossbar	w/m^2	SWR22
PA2	PA	Surface Par; Helo Hanger Crossbar	uE/s/m^2	PAR22
AT2	AT-2	Air Temperature; Top of Bridge	degC	TMP32
RH2	RH	Relative Humidity RH		HRH80
RT2	RT	Relative Humidity RT		HRH80
DP2	DP	Relative Humidity DP		HRH80
WB2	WB	Relative Humidity WB		HRH80
BP2	BP	Barometric pressure	mb	BPR26
BS2	BS	Barometric pressure sealevel	mb	BPR26
WS2	WS-2	Relative Wind Speed; Main Mast yardarm PORT side	degC	WND26
WD2	WD-2	Relative Wind Direction; Main Mast yardarm PORT side	mb	WND26
TW2	TW-2	True Wind Speed; Main Mast yardarm PORT side	m/s	WND26
TI2	TI-2	True Wind Direction; Main Mast yardarm PORT side	deg	WND26
WS9	WS-3	Relative Wind Speed; Main Mast yardarm side	m/s	WND25
WD9	WD-3	Relative Wind Direction; Main Mast yardarm side	deg	WND25
TW9	TW-3	True Wind Speed; Main Mast yardarm side	m/s	WND25
TI9	TI-3	True Wind Direction; Main Mast yardarm side	deg	WND25
WS9	WS-4	Relative Wind Speed; Main Mast Port yardarm	m/s	WND24
WD9	WD-4	Relative Wind Direction; Main Mast Port yardarm	deg	WND24
TW9	TW-4	True Wind Speed; Main Mast Port yardarm	m/s	WND24
TI9	TI-4	True Wind Direction; Main Mast Port yardarm	deg	WND24
TT2	TT	Thermosalinograph  temperature; Biochem lab	degC	TSG22
TC2	TC	Thermosalinograph conductivity; Biochem lab	mS/cm	TSG22
SA2	SA	Salinity; Biochem lab	PSU	TSG22
SD2	SD	Sigma t; Biochem lab	kg/m^3	TSG22
SV2	SV	Sound Velocity; Biochem lab	m/s	TSG22
TG2	TG	Thermosalinograph conductivity; Biochem lab	mS/cm	TSG22
FI2	FI	Flow meter; Biochem lab	L/m	FLW22
FL2	FL	Fluorometer; Biochem lab	ug/L	FLU22
OC2	OC	Oxygen Current; Biochem lab	ua	OXY23
OT2	OT	Oxygen Temperature; Biochem lab	degC	OXY23
OX2	OX	Oxygen; Biochem lab	mL/L	OXY23
OS2	OS	Oxygen Saturation Value; Biochem lab	mL/L	OXY23
ST2	ST	Sea surface temperature; UCW Intake	degC	SST23
TT2	TT-2	Thermosalinograph  temperature; PORT ssw	degC	TSG23
TC2	TC-2	Thermosalinograph conductivity; PORT ssw	mS/cm	TSG23
